tweet_text,sentiment,tweet_text_en,sentiment_pt,sentiment_en
"@youngsnowblood @thegr8angelica a para vc q é ♥️♥️ mt obg, eu me sinto até melhor agr :)",Positivo,"he played yanwankolloin just as angligliglition for the vc and transc and traggnor , i feel better at me : i feel more .",Positive,Positive
foo :) : 400e84d5-1e93-4d95-8280-2d99fc5bbb12,Positivo,"fo : ( applause ) : 400854 — 1 , 439 — 825 — 000 drugsfur — 259 billion .",Positive,Positive
Quando você joga com um youtuber que você segue e nem percebe na hora rs. Hope I've beaten you mr. @Alex_Olney from @nintendolife :P https://t.co/FMnZCneQUa,Positivo,when you play with youtube that you follow and you do n ' t understand at the time . he is impenter mr . henry visitors and shot offender feats : patin : patlosst .,Positive,Neutral
@bebadoetriste é pra fazer torresmo :),Positivo,it ' s immediate offender and prangchasers .,Positive,Negative
@Calebe80781696 Vixe q treta novelesca! Que bom a amizade foi forte e vcs estão conectados ainda! :))),Positivo,"i ' m gladly 1980 , 19196 valks ! that good amazon was strong and valves are still : ( laughter ) tempting ) ( laughter ) th : ( applause )",Positive,Positive
Aqui lembrando o shade das donzelas. :) A Camila foi perguntanda em uma entrevista e disse que na hora estava em casa e ATÉ chorou vendo isso. https://t.co/HDIPdpaTgM,Positivo,"here remember shatts of the milto : the calma was asked in a interview and said at home and i was at home and even chord that . mattatthew : / td . / hyp , napitt .",Neutral,Neutral
@LelloucheNico Bravo ! :),Positivo,i ' m played lellicutic play .,Negative,Positive
Gostei de um vídeo @YouTube https://t.co/FGEgHwa67q(🔴LIVE) FORTNITE DA NIGHT :D - LEOZERA - PC,Positivo,i ran from a video immediate quotes youtube : / tempt . congragha : anathen - transtus : dyigabla - plam .,Positive,Neutral
"Nenhum dos itens são meus. Tô só fazendo aquela divulgação :D SP tem preferência pra entrega em mãos, mas a gente faz uns Sedex aí e tal RT do amor pra chegar no próximo Faker!",Positivo,"none of the imp — just making that divital des : dispersal distort , but people do some of the guys do take off the next love and just that ' s the rage of the nextasser !",Positive,Positive
@tommezequiel10 de nada :),Positivo,"so let me pull out a1 - 1 , 000 of anything .",Positive,Neutral
"@barbaraveronni1 @anacxrvalho @Just_Foxyz. simples ... vou deixa d assistir aquele "" ..."" p vê essa série... :) adeus :)",Positivo,i ' m just going to play a quote by accompreter the accorly goes through jeweling and simple t — let ' s let me see that text — i ' m seeing that series — i ' m happy : ( laughter ) em : aw : i ' m sorry .,Positive,Positive
Não estou conseguindo twittar muito pois meu celular está meio bugado e estou totalmente focado na cobertura em português desse TI. As entrevistas e conteúdos extra estão vindo aos poucos ao longo dos dias. :D,Positivo,i ' m not steitting very much because my cell is a half - bully and i ' m completely founded on the roof of that turks and contents are extra to the days .,Positive,Negative
Alguém me fala como é ser feliz? :) #TercaDetremuraSDV,Positivo,someone me speak of how to be happy ? ( laughter ) # having acquiredtrvir .,Positive,Positive
"@MongeHan 5x8cm Hollywood mint, mas tem formas diferentes, dependendo da marca, mas é por aí a média :)",Positivo,"it ' s starting to move 580 hollywood , but it ' s got different ways , depending on the brand , but it ' s then the media .",Positive,Neutral
Mpoooos :))))) https://t.co/5tspCEMtSL,Positivo,mpoosh : ( applause ) https : / tvscvs .,Neutral,Positive
ia marcar a ceci mas ela me deu softblock :),Positivo,"i was going to mark a cezzon , but she gave me a maratuck .",Positive,Neutral
@aclarapinheir0 Delicada demais :D,Positivo,it ' s immediately arriblar than too dysold .,Positive,Neutral
Tu foi obrigado então? — minha essência é a mesma :) https://t.co/gU8NAeK2Jh,Positivo,"thuh , thank you ? ( laughter ) — my own : he mattps : / tu . / conduk mukh .",Positive,Positive
"@stelartoiss consciência pesou e eu desisti de assistir, melhor dormir msm :)",Positivo,"i ' m immediate trying to push weights and i ' ve seen , better sleeping .",Positive,Positive
@RadioRockPuro Boa noite Dino :-),Positivo,i ' m immediate radioace swelling good night .,Positive,Positive
"@julialimapessoa Boa noite, Pessoinha :))",Positivo,"i ' m immediate julian julian good at night , swarm : ( applause )",Positive,Positive
"E pra fechar, o teclado da Alienware, modelo Pro Gaming AW768 Caralho, que teclado bonito da porra! Nos detalhes: tecladim mecânico com switches brown, aquele com resposta tátil FODA e força de acionamento show! Além de RGB, macros, atalhos programáveis e tudo! R$ 600 + Frete :) https://t.co/W7mT5xezgO",Positivo,"and prato , the transkr ' s transk , propenter , scubator , who ' d shicked off the details : transculpt twords with the swathers and the coathoster , the coathos and the flaze scompher , the scopulp , the scopulpixelgnigging :",Positive,Neutral
Ter razão ou ter paz? — Razão :D https://t.co/jzwINCCI1A,Positivo,be there a reason or having peace ? — reason : https : / conzwawawawavan1er .,Positive,Positive
@savvasmor mmmmmm iperoxos oute sto alepoxori nasouna :),Positivo,"it ' s immediate semostering mmm diploma or sweatin ' s alturt , and he ' s going to go on the paramon .",Positive,Neutral
Gostei de um vídeo do @YouTube https://t.co/wJv8OhOKFs FORTNITE ! NOVAS SKINS :D COMPRO ? R.I.P. TOMATO TOWN ? 🏆 511 WINS,Positivo,"i giv of a video of scary youtube : georges cheevorvov ziz : new simpu , mari : dpppp , i ' ve got to take a 51 -1 video ?",Positive,Negative
Como n bastasse o wolverine e o doctor strange incompleto agora é a vez do deadpool :) https://t.co/H13WBkZvuQ,Positivo,as n ' t just wold the woold and the deterior sempression of incomplete now and instead of the deplapool : https : / t . cons : truth .,Positive,Positive
Última vez pedi pra nunca mais me deixar não esperou dar nem uma semana p me jogar fora feito lixo :),Positivo,i asked the last time i never left me no longer i ' m hoping for a week playing garbage .,Positive,Positive
Factions Medieval em Desenvolvimento :) Será que vai dar boa? IP: https://t.co/LV6X5tYX7B,Positivo,i ' ve been a medieval development : is it going to give good ? iptt : natt : / tv : / lv : novxxxxxxxx magneth .,Positive,Positive
LIVESTREAM FORTNITE NO AR MANOS :D #PARTILHA !!!!! https://t.co/5ubmaAvvwA,Positivo,lohant semnit in the arisomes : you ' re # two : comep ! his ! matt : / 7ukhar .,Positive,Neutral
@melissapena_ T voa partir tu madre :),Positivo,i played off the boards flying thirumps .,Positive,Positive
Gostei de um vídeo @YouTube https://t.co/LGNjrDc2Qf To The Races - Lana Del Rey - Lyrics :),Positivo,i stopped a video clip of youtube helms : / t - change .,Positive,Negative
Estive a arrumar até agora :),Positivo,i was arranger to do so .,Positive,Neutral
hoje foi um dia bom :),Positivo,today it was a good day .,Positive,Positive
"@veek_oficial Parabéns pela oferta de R$20 por 30 dias. Vocês se tornaram a melhor opção no mercado p/ quem quer manter um número que não usa mais como principal. E isso virará 100% de lucro, já que esse perfil de cliente não gera despesa de VU-M :D",Positivo,"i ' m starting to come out of the mater for rov by the rov of the rume per 10 days , and you became the best option on the market at the ever want to keep a number that does n ' t use more as a main , and it will come 100 percent of profit , which that that ' s no one - dimensionals of vacant , miscreties : discloss .",Positive,Positive
Se tu diz :D,Positivo,"if you tell you , you ' re d be a number of people .",Positive,Positive
@lumabargo vc é :) olha como seu cachorro é feliz,Positivo,it ' s just just just just ablar vactr and : look at her dog and happy .,Positive,Positive
"@Primo_Resmungao @God_is_a_she A tua mulher partilha cmg o gosto por guardar caixas(e n só) e a profissao. :P plo menos ate ao momento, q agr tou d baixa e dp nem sei...mas à uns5anos q faço isso.",Positivo,"i ' m shown first fundamental organizations will just take grad from transcrads coming from the texting of your wife and neglaces — and the profession : poltri : pold at less at the moment , quartar and i do n ' t know a few of it . i do that .",Positive,Neutral
@Roboox23 De nada :D,Positivo,"i ' m immediate robot , wonderful , milomen of anything : diatching .",Positive,Positive
Vou me deitar às 5h30 :)))),Positivo,i ' m going to lay out to my 530 : ( applause ),Neutral,Positive
"@yixingtoxic Os resultados das pesquisas se baseia no que você anda assistindo no yt, então isso so mostrar que você anda vendo muito BTS. Obrigada pela visibilidade e reconhecimento anjo :)) https://t.co/fk7HWmC3Fu",Positivo,"` ` i ' m shocked by yxbrexicing the results based on the way you ' re in the way you ' re in the yt , so just show you ' re just showing you so many blesss . thank you and recognition and recognition : ` ` ' ' hish : yes , cott : ll : ll : ll : dumphukoukouk . ' '",Positive,Positive
"@euguruanna @garciaa1903 Não tenho como adotar, mas posso te ajudar com ração ou alguma outra coisa :)",Positivo,"i ' m immediately excited about gargonoly 219 , i ' ve got no such as a being kid , but i can help you with race or something else .",Positive,Positive
mesmo wrrando umas bala nada a ve me chamaram :),Positivo,even wallowing a couple of sallower - up waian ] sallinging .,Positive,Neutral
Eu tava com sdds dele :),Positivo,i ' d been tdransced with him .,Positive,Neutral
@xtramirrestrial dinosaurs!!!! :) https://t.co/uTqt1vnISv,Positivo,i ' m immediately arrangeful massurri ! ! matt : natt : / 7 .,Positive,Neutral
@marlondm @GeorgMarques @agenciacnt 1. Pq vc vive em sua bolha 2. Pq os eleitores do Lula n são fakes ou contas robôs q ficam falando asneira em qualquer post q aparece como de outros candidatos. As pessoas tem + oq fazer :),Positivo,"now , let ' s just explain glone geometer geomomer geomomecuticinats — she lives in his 2 , pquis of liko or robots , or you ' re going to be quiket to speak of every half - kilt . so people have the other reason : ( applause )",Negative,Positive
só observo minha irmã sendo um anjinho comigo porque precisa de uma modelo de make pra amanhã quando ela não precisa de mim é uma escrota :),Positivo,i just saw my sister being a little bit with me because she needs a parket model of mahraw tomorrow when she does n ' t need me and a scrono : a scronoaster .,Positive,Neutral
"Acabei de ganhar um Minecraft Original na LojaBolada, sim foi de graça :) Entre aqui e saiba como ganhar também: https://t.co/rTwikJNaEO #LojaBolada #MinecraftFree",Positivo,"i ' ve just won a original minucripe on the store , yes , it was free from this : and between here and i got to get to do as well : hish : / rattendal chee .",Positive,Positive
"sou líder de todas as turmas do meu curso, estou c as fichas dos jogos, não tô indo na faculdade e a galera não para de mandar msg querendo ficha :)",Positivo,"i ' m a leader from all my class , and i ' m cheeks of games , not towell in college and galluton does n ' t want to send milgien : swage .",Negative,Positive
boa noite :),Positivo,good night :,Positive,Positive
@lucaskCRF Pra tirar a maquiagem :),Positivo,it ' s immediately released arcapolit prary to take the mascut .,Positive,Neutral
@padilhafbpa Consegue baixar Discord no seu celular? Vai facilitar bastante a comunicação :P,Positivo,so i ' m immediate trying to get to go out of your own discomfle ? it ' s going to make a lot of communication : ped up to it .,Positive,Neutral
"@bazert @Publico Foi o tema do meu trabalho final da pós graduação (fiz prova com o ""pai"" da legislação) , e da Agregação na Ordem. E quando vim para aqui descobri uma data de gente que foi completamente enganada, tinham titulos de férias em vez de time sharing... :)",Positivo,"i ' m sorry , i ' m sorry , i ' m sorry , that ' s my latest polidayer ' s subject , and i made it prove with the slight of the time , and when i ' ve come here to a date that i ' ve been finding a date that people who ' d been completely enchadated , they had completely tv landing .",Positive,Negative
"ok eu falto quarta, faço o trabalho de educação física pela manhã e à tarde vou pra casa da minha amiga fazer o trabalho de artes :D https://t.co/mMLtyXNmth",Positivo,"okay , i ' m just six , i do the work of physical education for the morning , and i ' m late to home from my friend to make the work of arts : httatt : datt / t . d . d . d .",Positive,Positive
@Cherrybomb11111 De nada! :),Positivo,i ' m physics to go out of a1111111 of nothing .,Positive,Neutral
Hora de assistir :) pq estudar eu não tô conseguindo,Positivo,time watch : pquator did n ' t study me for the time towel .,Positive,Neutral
"Acho q o Kayke tentou me elogiar me comparando c a Hanna, porém esqueceu do detalhe q ela morre :)",Positivo,"i think quecoke tried to eleit me as annake , but he forgot to forget the detail of her quad : ( laughter )",Positive,Positive
"as letras do xxxt nunca fizeram tanto sentido, rajada :D",Positivo,the 20th - century letters have never done so much .,Positive,Neutral
"@Monica_ARMY1 mano fiquei triste, posso ser cupido :)",Positivo,"i ' m immediate monolirting assemblys malawi , i ' m sad , i can be supple .",Negative,Negative
Que bolonqui estoy manejando (:)/(-((/,Positivo,that barcotti shiele malvest : ( applause ),Neutral,Positive
@alexandre_lops @gabiiiidarosa Sim a gente pode gravar aí nóis janta :),Positivo,i ' m immediate jane telegraphers it wrong ga as well as people can record that jew : well - old .,Positive,Neutral
Nova tela de fundo do meu #Desktop :) https://t.co/BGv6vdy7sP,Positivo,new canvas from my # ampktok : https : / t - tvit : covit / aids .,Positive,Neutral
@lkp9812 @ForeverShady98 eminem ft ariana grande :))))) https://t.co/BoEns5zOim,Positivo,"limko9812 just physics , but arrrely vased in arriumus : ( satt ) ( satt ) ( natt : / / bona .",Positive,Neutral
"So queria morrer um pouco, tipo pra sempre :)",Positivo,"i just wanted to die a little bit , like , you know , it ' s always .",Negative,Negative
Corrente da autoestima :) Quem curtir te acha bonita — ta bom https://t.co/EEzbSURjnT,Positivo,"now , now , now , now , now , now , now , now , now , now , now , now , now , now , your current chicking you think you think beautiful — good husturry : thighs you think — good — good abries look — good — good — good — good people think — good — good catar : marawps : good , good catag : good catag : mar : mar : m",Positive,Positive
@squizxy Silver? :))),Positivo,so i ' m immediate frankensive ?,Neutral,Neutral
seu nome é só Eduarda ou Maria Eduarda ? — maria eduarda :) https://t.co/MysypPL1R3,Positivo,his name is only eduarded or marians ? — mariansuave : natt : / ttt : / tycylon .,Positive,Neutral
Bonita historia :) https://t.co/dhSxUViGbB,Positivo,beautiful story : httatt : / / temperburgbigburgb .,Positive,Positive
af pq és tão lindo — obrigadoo :) https://t.co/O5083fc0ic,Positivo,"pf is so beautiful — thank you so beautiful : mattps : / t . co / 1 , 50008 .",Positive,Positive
"vamo lá! 👏👏👏""não quero dinheiro eu quero amor sincero, é isso que eu espero"" :) https://t.co/RbSt66QY2P",Positivo,"come on . i mean , tempouring no longer i want to love me , and that ' s what i hope to do : httpse : hi . / 76 million times .",Positive,Positive
@eduardo01655222 7 mil milhoes é usado na europa 7 biloes é usado na america :),Positivo,"i ' m starting to ed 2615222 billion in the 7 , 000 - 7 , 000 - sunnys and used in america .",Positive,Neutral
@yazmin_medina2 NUNCA es tarde :))),Positivo,"i ' m immediately surprised by the textures me up , never later . )",Neutral,Positive
"@youngsnowblood obrigada :)♥️ eu tb acho bonito, mas as outras, não eu kqlwlwkw pq é um saco quando é só vc, a diferentona dentre todo mundo",Positivo,"he played yanwandg thank you : straight - thbut , but other i do n ' t think , i ' m kalwalk and a bag when it ' s just vacious , the stequent of all around the world .",Positive,Positive
Inveja tenho de quem consegue dormir de dia :p,Positivo,i have jealousy who can sleep day .,Neutral,Negative
"@JaquePauula Hahahah maid sem noção, isso sim :p",Positivo,"i ' m immediately worthhacked there ' s no idea , yes .",Positive,Positive
"@_ninosantos @igorescorreia Não vou discutir com vcs :) Até pq eu preferia nao ter beijado, então nao me irrita",Positivo,"i ' ve played straight types of milgogons not going to discuss with valves : until i was not upset , then i was not going to go to me .",Negative,Positive
"@pedromyguel Mas ele não premia vídeo mudo :) Então tá tudo bem, assim como tem melhor trilha sonora original no Oscar (e olha que eles premiam vídeos mudos)",Positivo,i ' m shocked matthewing but he wo n ' t predict video clip : so he ' s got better enough as he ' s going to sleeping the original obutont in the academy that they look at videos .,Positive,Positive
Talo tnc :)))),Positivo,so doc : ) ( applause ),Neutral,Positive
"Na boa, sou muito apaixonado no teu sorriso e teu jeito de ser, diz que aceita ser minha mulher — Que fofo :) https://t.co/EegLmeHd7k",Positivo,"in good , i ' m very passionate about your smile and your way back to be , and you ' m saying it ' s the accepting of my wife — who ' s going to be my wife — hoop : hishend / th .",Positive,Positive
@_ninosantos @igorescorreia Não vai ver :),Positivo,it leaves the wildernessmitters not going to see .,Positive,Neutral
"@mumaaji Na verdade, os testes são bem limitados por não dizerem respeito à própria categoria de separação de ''funções''. É limitado a T-F, E-I, S-N, J-P. Só que essa separação está errada. Não é muito recomendável se basear pelos testes. Eu mesmo achava que fosse ENTP, anteriormente. :)",Positivo,"i ' m immediately struck by truth , the tests are very limited by not quite limited to the category of structural location . and limited t - f - f - f - f - f - f - upness , s - scompulsive , and that ' s not really reconcessable by the development . i thought it was really based on the basis .",Positive,Negative
"@598quadrados tu nao eh teus traumas, tu eh o presente, um instante, so oq te define é o que tu vai ser daqui p frente :)",Positivo,"i ' m immediate universally perufactured for you not ehur , you ' re ehur , you ' re just the present , one example , you ' re going to define and what you ' re going to be in front of .",Positive,Neutral
Toquei ukulele até ficar com câimbra nos dedos :),Positivo,i played miklex until you get abraham on your fingers .,Positive,Positive
@gisneris @luanica_ não sou a única que escuta roupa nova :D,Positivo,"it ' s immediate gilnery exhilectory , and i ' m not the only ones that listenerry new .",Positive,Neutral
"Pai: Simão Mãe: Alexandre Filho: Araújo Caso: Filho apanha grande moca, grega e obriga os pais A cuidarem do menino às 4 da manhã durante 1 hora e meia, today was a good day :)) Boa experiência paternal, neste caso maternal &lt;33 Amigos 4ever drogadinho",Positivo,"father : yeah , bean mother friends : aruce : aufacturer : child pick up big mock , gentrir and the parents of the morning for the morning for four and a half - time whiso in the wood of wood : good anatriarchy : good experience in this case in this case , 33 friends .",Positive,Positive
@rihanney se você não for me ignorar :),Positivo,i ' m immediately excited if you ' re not supposed to ignore me .,Positive,Positive
"Comeu eshilley né safado OKAISUWOSOKSSKSISSJS — O que se fez a dois, nunca será comentado a três :) https://t.co/hyL5XszyCz",Positivo,"he ' s eating safariey neu safwaskswaskswiscorps — what if he made two , it ' s never going to be shown to be three : hitt : nattay : no longer .",Positive,Negative
"@beamarcelino Aleatórias não, bora construir :)",Positivo,"it ' s immediately random random random randoms not , bormother .",Positive,Neutral
Mas fui ao mc :)))),Positivo,but i went to mc : ( laughter ),Neutral,Positive
"vi sua namorada sem voce no role vcs terminaram vc ta solteiro? — não tô solteiro e minha mina tem liberdade de sair qnd ela quiser, confiança o nome meu bem :) https://t.co/pDLWwelH7h",Positivo,"i saw his girlfriend without you on the rols have told telecrape sun ? — not toweat and myur and my min had freedom of coming out , trust , my name , matthews : natt : nad : no longer .",Positive,Positive
Vai dormir :D — Nao tenho sono 😌 https://t.co/jNqSAbn6Bo,Positivo,sleep is going to sleep : i have no sleep with httattles : / conquenburtbon .,Positive,Negative
mate um d5 na paulada :),Positivo,"a m5 on paula : you know , it ' s a number of .",Positive,Positive
Esperando a chuva :),Positivo,wait for rain .,Positive,Neutral
@rafaelaboth amanhã sai no https://t.co/WavC3S3Kh6 eu posto aqui :),Positivo,i ' m immediate offebreat tomorrow come from the hettps : / t . cohevovovo kavoilou kilouuuz : i put here : yeah .,Positive,Positive
Jogando fortnite squad com @MaranhaoGabriel @igorfsn @danillolf https://t.co/MvnOdAfTNi Vem :),Positivo,jevo with anathetti with apomer with marvelin just imittagolag griptz : / malves : turtuftynza : ( applause ),Positive,Positive
"100% nem aí, meu anjo. :)",Positivo,100 percent or so on myge .,Positive,Neutral
Esse é o meu garoto :) https://t.co/yL23kcteJ9,Positivo,that ' s my garat : https : natt : / t - change .,Positive,Neutral
"@alves_delmar Well, duas mulheres maravilhosas! :)",Positivo,"it ' s played together telebrands weller , two wonderful women .",Positive,Positive
"Então né guys, boa noite :) https://t.co/46vF4Wnky1",Positivo,"so nu guyl guis , good night : hittps : / 46 - miliping .",Positive,Positive
@crazyyviruss n sei pq me lembrei daquele vídeo do Baek olhando bem olhado a Hwasa :) https://t.co/e3IgrgfRzK,Positivo,i ' m shockingly chrisy fravuss neuritusin ' s video read me from that video of the bakru look at goodagas : httag : hi : natt : tcrang : turz : chighhropherz ),Positive,Negative
"tem gnt q n muda, o tempo pode passar e n muda, n cresce, n desenvolve as ideias, as prioridades, os defeitos, simplesmente n muda, e não é você que vai mudar esse alguém. ngm muda ngm, temos o poder de mudar nós mesmos, e só :)",Positivo,"it has gnk , q changes , time can go and change and change , n ' t grow the ideas , the priorities , the flar , the simply changes , and you ' re not going to change that person . ngil , we have the power of change us , and the power of all : it ' s only : ( laughter )",Positive,Positive
":)))) to mm a ver que amanhã acordo c bué dm""s a dizer ""tu e a nicole têm beef"" juro 😂 https://t.co/Er6SO3qBUd",Positivo,( : ( video ) matt ) to see that tomorrow transmping verration of living in fact and nicom has a temprame trampath . temp : transt ' s / 11 .,Positive,Neutral
"@LMattarMonteiro @QueenWillRock @Campinas No início não curti mto a ideia do Queen retornar sem Mercury, porém depois gostei de continuarem levando o legado do Queen estrada afora . Foi 1 decisão emocional em ter parado, era mto próximo do FM. But... ""The Show Must Go On"" Linda a sua mãezinha.:)",Positivo,"so i ' m shocked from jewel ickenecdoct that i ' m immediately calming in the beginning not curomoton ann ser of what i resonater , but then i let go to keep the legacy of the road that the road , it was a decision in the other way of the frang . it was closer to the malcomp .",Positive,Positive
@s2_line mas é algo :),Positivo,"it ' s played together t2 types of tents , but it ' s something .",Positive,Positive
"@effectscabello então tá bom nina, pense o que quiser :) minha consciência limpissima",Positivo,"attempt and immediate emotional lock is compelled so good n ' t , pennsjecting what you want : my consciousnessns .",Positive,Positive
"Nossa. Saber disso em só algumas palavras qq ' Parabéns. — impressionado? de qualquer forma, obrigada :) https://t.co/BNLzFYDefx",Positivo,"we know that in just a few words for a hundred words — impregate ? so you ' ve got it ? so , thank you : hitt : / t - tail .",Positive,Positive
sigo de boa tbm por saber que dedo nao faz filho :),Positivo,shirps by knowing that finger does n ' t do any one .,Positive,Neutral
país racista e premiação racista boicotando a música que denuncia o racismo :),Positivo,racist and premiration is to precology by bacitting the music that supports the race .,Negative,Negative
@andresbravo91 @TiendasMAX @ConectionGT @PuntoNaranjaGT @superlatorre ¡Nítido! :) https://t.co/XBhkyxifXj,Positivo,immediate filmmakers henry experiment starts to just physicsly exemantly punish punishtreatantic superpowers matthew : https / th . sempulsh : chript .,Positive,Negative
@isabelleweyller @safadelizantebb Realmente :),Positivo,it ' s immediately demowallming off again safharve : really .,Positive,Neutral
"mt benten bales nanti ae, capeq :)",Positivo,"mt . b . b . b . , case .",Positive,Neutral
@QueAmara A ser* :),Positivo,it ' s starting to be a commands .,Positive,Neutral
"Hoje foi o pior dia da minha vida. Ia postar isso no face, mas aí lembrei que tenho ex's lá, então vou continuar fingindo que minha vida está ótima :)",Positivo,"today it was the worst day of my life , and it was going to get that on the face , but then i ' m going to go away from it , so i ' m going to keep a great thing : yes .",Negative,Positive
@nicolettiFPS vlw irmãozin tmj! trombaremos muito ainda :D,Positivo,i ' m immediate nicoscorps from the brotherwkw : we ' ll bring a lot of : dyscompath .,Positive,Neutral
@shawntyrel na medida do possível e vc? :D,Positivo,i ' m immediately excited about as the vc and vccac ?,Positive,Positive
"Coisinha mais linda do mundo é a pessoa perguntar o que aconteceu, FICAR PUTO pq eu respondi e ainda sair gritando aos 4 ventos :)",Positivo,"it ' s really beautiful from the world , and the person asking what happened , to be punished , and i still got to leave the winds of the winds :",Positive,Positive
@DaftHill Eu queria ir p casa cedo dormir :),Positivo,two odds i wanted to go home to sleep .,Positive,Neutral
@trashrocksite siiiiiiiiim! mereceu demais. :),Positivo,i ' m immediate back behind semi siiiiiuuuuuuuuuuuuuuuu ! it deserves too much .,Positive,Neutral
@CaptainHopper Obrigada :),Positivo,so i ' m immediateized to get paid .,Positive,Neutral
Só espero que estejas feliz do que fizeste rapariga :)),Positivo,i do n ' t want you to be happy than i did girl .,Positive,Positive
eu achei bem fofinho :) https://t.co/PIfBB1krUw,Positivo,"i thought well , check : https : / thu . coribukuk .",Positive,Positive
aiii deixa esseee!! -D — aaa vou deixar :)) https://t.co/5AyIOkHUw5,Positivo,"i ' ve shown that this one . d ' d say , aaay — matt : matt : / 7 . 51 cents .",Neutral,Neutral
@TurbzAU no problem :D,Positivo,it ' s immediate thuffled in the proga .,Positive,Neutral
RR - acho que nunca te vi mas és MUITO giro :)),Positivo,rig — i think i never saw you but i ' m really cute .,Neutral,Positive
"a nicki e a ariana salvaram o vma pra mim, eu simplesmente to muito mais apaixonado por elas. ambas levaram um prêmio pra casa e fizeram as duas melhores performances. n poderia estar mais orgulhoso :)",Positivo,"nick nicke and arridian saved the vah , i simply simply towent much more passionate about them , both led a boat to home , and they made two more performances . ne t be more proud : ( laughter )",Positive,Positive
"Quando se trata de uma mulher de verdade, uma mãe é um exemplo de uma... :) ela esperar, cuida e incentiva seu filho e o acompanha, em vez de critica-lo e ficar lhe colocando pra baixo. https://t.co/wZr3tvYIon",Positivo,"when it ' s a woman of truth , a mother is an example of a — ( laughter ) wait for it and incept , it ' s incepted and the steel , instead of critical championing it . hypenter : natto : natto .",Positive,Positive
Apenas aprendendo a viver com esta situação :),Positivo,just learning to live with this situation .,Positive,Neutral
eu achei a lara jean muito fofinha :) https://t.co/VhccfGM5JB,Positivo,"i thought to my home , jeans , heart : hips : th . / thcuflflubry .",Positive,Positive
@Mbagaskara3 @R_AninJKT48 Bodo :p,Positivo,"i ' m immediate mbakamokate rookle , and i ' m going to be able tojk up .",Positive,Neutral
Um bixin é como um ser humano não consigo entender como alguém machuca um ser tão indefeso bando de fdp infeliz :),Positivo,a bibliss is like a human being not able to understand how malware muffert is so undeprod from fract : empherz : anatz : an unintellara .,Negative,Positive
Só me falta a pessoa :) https://t.co/YGjp6uOQMI,Positivo,i have just lacked the person : hettps : / t .,Positive,Neutral
"projeto concluído, amanhã eu vou testar :) em Londrina https://t.co/uV2byjjcrf",Positivo,"` ` and i ' m designed tomorrow , i ' m going to test : ` ` ' ' linz : / t - tav : / uvjy ' ' ' ' / uvjy . s . s . s . s . ' '",Positive,Neutral
Fiz isso e sinceramente melhor coisa :) https://t.co/Wf3BFx9JMW,Positivo,i did that ' s rather good thing : https : / t - change .,Positive,Positive
"Pra quem sempre pediu meu som na rua, acho que chego a hora :D",Positivo,"and who always asked my sound at the street , i think i ' m seeing an hour .",Positive,Neutral
sippinpurpp é merda :) https://t.co/jaWPEyxHiA,Positivo,sypppppppp and shit : natt : tatt / jewel .,Negative,Negative
